date,index_all_shortage,energy_shortage,food_shortage,industry_shortage,labor_shortage,index_can,index_deu,index_fra,index_gbr,index_jpn,index_usa
1907m11,44.715691,2.5121174,12.560588,19.594515,10.04847,39.169811,20.047295,16.560823,30.388573,8.2239113,31.682425
1907m12,28.79928,2.3999403,9.1197729,13.439664,3.8399043,44.904842,23.940117,42.190155,39.918434,7.8566771,23.388649
1908m1,17.861998,1.9846665,3.9693329,8.9309988,2.9769998,38.682011,14.848228,38.160694,33.761398,24.364487,22.043728
1908m2,15.829328,1.5829327,3.1658654,8.4423084,2.6382213,8.2272129,15.790225,28.986912,15.957013,8.6367369,15.880212
1908m3,23.387812,1.4319068,10.50065,7.6368365,3.8184183,37.211319,14.283697,10.488521,25.260502,15.62543,23.25778
1908m4,24.925915,2.7093387,7.5861483,10.295487,4.3349419,33.795963,43.242336,53.582939,28.67753,8.8695545,25.627312
1908m5,19.667286,.50428939,8.5729198,8.0686302,2.5214469,31.452223,20.121746,11.081551,15.250715,16.508905,18.068232
1908m6,29.880598,.54328358,13.582089,11.952238,3.802985,25.4132,16.258245,23.876865,41.074944,26.678186,28.808729
1908m7,25.807129,0,11.871279,9.2905664,4.6452832,64.383003,51.486755,34.026062,27.316065,8.448472,22.931221
1908m8,33.512875,3.6090786,10.311653,14.951898,4.6402435,56.27401,10.28618,33.989147,50.674797,16.878614,29.556574
1908m9,24.762566,1.0766333,13.457916,8.6130667,1.6149499,41.968105,10.739738,17.743931,16.279768,8.8114281,23.916372
1908m10,29.914997,2.4929163,8.4759159,16.453247,2.4929163,85.514923,9.9470329,16.434242,22.617228,0,22.151096
1908m11,17.92001,.52705908,3.1623545,10.541182,3.6894138,41.090443,15.772714,17.372858,27.893806,17.254318,17.373325
1908m12,17.906635,.5116182,8.1858912,6.6510363,2.5580907,39.886642,10.207087,28.106493,23.208529,25.123241,16.864349
1909m1,17.995192,2.0565934,7.7122254,7.1980772,1.0282967,56.117462,10.257565,5.6490993,7.7744355,0,15.474034
1909m2,20.778442,1.1231591,7.3005338,7.862113,4.4926362,35.025375,5.6019225,6.170239,16.983284,9.1922054,17.706379
1909m3,24.375938,2.074548,13.484562,5.7050071,3.1118219,40.433846,10.347116,51.285755,23.526922,16.978603,18.582293
1909m4,33.437771,1.5673954,27.690655,2.0898607,2.0898607,114.05043,41.693962,45.923824,47.401165,17.103926,40.434021
1909m5,21.281208,0,12.372796,3.4643826,5.4440303,54.017857,14.810677,5.4377413,26.192455,0,18.44153
1909m6,21.062342,.52655858,13.163964,4.739027,2.6327927,32.841137,26.26289,34.712719,27.867315,17.237932,21.884693
1909m7,26.195251,2.568162,10.272648,10.78628,2.568162,32.034939,20.494543,11.28686,19.416584,0,23.555817
1909m8,56.012527,1.9827442,20.32313,22.801559,10.905093,100.47583,44.501545,32.67749,52.466869,40.56815,45.465553
1909m9,49.027626,3.8132598,17.976795,21.245306,5.9922652,84.939537,70.642746,29.92672,41.185921,17.833511,39.035896
1909m10,67.183258,5.3942761,18.634771,38.740711,4.4134989,91.755737,48.917732,32.32827,55.613739,24.080761,58.333008
1909m11,49.094479,5.6846242,12.9196,26.872766,3.6174879,48.347256,36.085518,34.068344,31.257154,16.917942,37.031803
1909m12,48.357628,8.8395662,9.8795156,19.759031,9.8795156,81.076233,31.121403,45.704903,43.243927,17.02239,36.515221
1910m1,55.18816,17.787918,16.875717,15.507417,5.0171056,106.67517,18.198954,30.067862,17.241734,22.397022,37.912666
1910m2,22.141743,6.0386572,8.0515432,5.5354357,2.5161071,39.232021,5.0197835,16.587126,19.023024,0,17.308769
1910m3,29.399384,3.7332551,7.933167,10.733109,6.9998536,43.657661,37.24033,15.381889,35.281586,0,24.076647
1910m4,26.392677,6.8620963,8.4456568,5.8063893,5.2785354,41.152382,10.530993,11.599364,7.9816718,17.280327,22.695017
1910m5,27.725233,1.3862616,14.786792,4.6208725,6.9313083,28.820101,18.43783,20.308353,34.936096,37.818336,22.516386
1910m6,28.408604,.99679315,14.951898,5.4823623,6.9775519,69.940552,29.829922,43.808235,30.14501,16.315994,27.857069
1910m7,39.86964,3.2452033,22.716423,7.8812079,6.0268064,115.65792,23.122763,20.374859,45.565655,15.176875,35.214016
1910m8,42.907097,2.4945989,21.453548,11.475154,7.4837961,62.234642,24.884363,65.781342,26.404573,16.33312,30.74645
1910m9,39.562458,3.550477,21.810074,8.6225872,5.5793209,86.99472,20.238321,33.43726,15.339071,0,32.711239
1910m10,41.453861,4.994441,17.480545,15.482767,3.4961088,62.300049,9.9642067,43.900311,41.536507,8.1751432,29.347191
1910m11,37.196892,6.7161055,12.398964,12.915587,5.166235,80.553734,20.613892,62.439236,46.87117,8.4563437,31.097055
1910m12,30.119949,7.2870851,12.630946,8.2586966,1.9432225,37.874252,29.076332,48.039204,33.056393,15.903804,24.368366
1911m1,16.12155,1.8424628,5.5273881,6.4486198,2.3030784,28.728325,22.973892,10.12184,31.342356,7.5395818,13.862892
1911m2,16.481655,3.9955528,5.493885,4.9944406,1.9977764,31.150024,14.946309,16.462616,7.5520921,0,17.894629
1911m3,14.207289,.45829964,9.6242924,2.7497978,1.3748989,35.729839,9.1433506,15.106418,10.39492,22.505013,13.793187
1911m4,12.109299,0,7.9176183,3.2601957,.93148452,36.310078,0,10.234493,17.606216,0,10.679758
1911m5,25.674589,.9688524,14.532786,4.3598361,5.8131146,45.320053,19.329182,37.257732,40.287537,0,20.827864
1911m6,18.001095,.97303212,9.7303219,5.8381925,1.4595481,45.515568,9.7062855,26.727476,11.034911,7.9635315,23.009487
1911m7,44.457096,1.3609315,34.930573,4.9900823,3.1755068,120.24734,36.201859,54.827496,41.15728,22.276386,33.15744
1911m8,45.665363,4.0145373,27.599945,6.0218062,8.0290747,86.069595,50.057755,38.595291,102.43767,8.2139864,44.589542
1911m9,28.85384,.5062077,18.729687,6.5807004,3.0372465,78.929665,50.495724,44.49482,30.617456,8.2858524,29.744619
1911m10,33.749763,2.4456348,20.054205,7.8260322,3.4238889,83.893021,48.79187,64.490181,40.678478,16.012535,26.637962
1911m11,32.6255,4.0154462,14.054062,12.046339,2.5096538,93.915344,40.055267,44.118885,30.35877,8.2158461,23.738516
1911m12,31.353024,1.9294169,11.094148,13.988273,4.3411884,75.21035,19.246506,37.098373,21.881029,0,22.812654
