DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT
19850927,460,150.05864,126.51006,156.34462
19850928,332,135.14317,105.171,133.30588
19850929,502,82.502357,69.555328,110.20307
19850930,382,108.41933,76.170967,130.33965
19851001,451,160.70581,77.420784,147.19807
19851002,450,191.74159,181.04994,196.70024
19851003,492,105.22404,106.45358,78.710083
19851004,455,166.8784,153.48033,121.58669
19851005,321,107.51865,54.387497,120.63975
19851006,501,96.444878,127.77263,66.253822
19851007,412,92.147659,84.749451,53.710625
19851008,418,140.36584,180.98805,92.644402
19851009,469,169.25591,248.1647,70.774338
19851010,486,106.52311,143.69043,79.681808
19851011,484,85.570625,144.28419,125.73169
19851012,340,152.26538,256.741,130.16928
19851013,493,70.007072,82.62928,89.771912
19851014,335,144.23546,295.31601,66.056053
19851015,400,198.45255,290.97311,96.8134
19851016,435,111.07789,120.40266,139.89456
19851017,406,127.51288,157.67017,40.878284
19851018,420,123.26246,180.12622,52.687565
19851019,368,84.407982,31.627514,90.198814
19851020,479,86.463852,97.193527,103.9452
19851021,408,135.34702,85.58033,149.1523
19851022,394,78.837914,88.621254,84.246613
19851023,550,131.77876,137.55092,110.64388
19851024,598,86.572296,107.04697,83.260445
19851025,566,91.466843,92.535622,117.29034
19851026,444,116.59961,117.96207,99.679176
19851027,677,76.470062,60.171692,106.2312
19851028,557,37.177902,52.239338,29.796377
19851029,504,61.631229,115.46552,54.882881
19851030,574,42.089615,20.276873,67.465782
19851031,605,102.68475,76.951569,91.441223
19851101,522,105.78846,44.593578,127.17688
19851102,410,109.43301,99.356674,94.452095
19851103,696,109.09436,66.890373,95.38266
19851104,449,169.1084,77.76564,135.53259
19851105,488,113.15897,83.475891,102.02818
19851106,577,53.833858,80.685783,28.763575
19851107,610,84.869232,38.160408,63.484192
19851108,586,82.455429,99.308235,56.643627
19851109,423,122.38825,123.81834,91.549316
19851110,702,93.412567,99.477989,102.44804
19851111,501,75.778114,92.925545,44.169216
19851112,449,84.554199,103.68753,86.248016
19851113,563,98.084511,41.346092,167.04671
19851114,635,97.833504,73.316063,95.833282
19851115,563,91.954224,51.68261,117.91534
19851116,448,53.927322,38.969612,49.394592
19851117,749,96.766785,46.617855,118.17772
19851118,480,115.04496,36.371639,149.83026
19851119,494,90.824966,70.681732,55.993866
19851120,490,126.78423,118.76453,101.61172
19851121,639,70.215225,54.642838,77.918228
19851122,529,123.96148,66.005241,135.95184
19851123,414,83.365906,42.170017,93.539513
19851124,762,86.057251,53.459625,94.381264
19851125,485,135.20747,179.98337,57.032928
19851126,500,75.929672,69.833549,66.38633
19851127,565,91.628723,113.29926,48.95747
19851128,491,119.4968,118.52265,112.67197
19851129,532,97.312462,98.449554,93.589752
