date,index_all_shortage,energy_shortage,food_shortage,industry_shortage,labor_shortage
01sep1986,48.855801,6.2635641,12.527128,15.65891,14.406198
01oct1986,51.463722,10.179637,10.745173,11.02794,19.510971
01nov1986,60.49511,10.132186,12.814235,17.284317,20.264372
01dec1986,50.041679,5.7975116,14.341212,14.03608,15.866874
01jan1987,44.388805,8.631156,9.8641787,10.172435,15.721035
01feb1987,47.258373,9.3846416,13.741797,8.0439787,16.087957
01mar1987,49.060593,12.482873,11.611975,9.5798798,15.385867
01apr1987,44.808823,9.3856316,8.7801065,14.532591,12.110493
01may1987,52.009483,9.5103064,13.076671,10.699094,18.723413
01jun1987,62.621456,9.5628824,17.891846,10.796803,24.369926
01jul1987,51.071747,8.7195663,10.276631,9.0309792,23.044569
01aug1987,67.815948,13.438183,14.375731,18.125921,21.87611
01sep1987,59.418209,8.8821039,10.107221,14.701412,25.727472
01oct1987,63.903038,8.2731609,15.690477,12.2671,27.672297
01nov1987,58.505299,8.8041954,13.348296,14.768328,21.584478
01dec1987,63.986343,8.8552532,24.566187,8.5696001,21.995306
01jan1988,65.315224,12.138227,19.941372,11.560216,21.675406
01feb1988,48.565037,8.8300066,8.2413397,15.011011,16.482679
01mar1988,45.833012,7.0097547,9.7058144,14.019509,15.097934
01apr1988,63.842365,7.0285177,18.742714,17.571295,20.499844
01may1988,67.787064,7.4400434,17.084543,16.257874,27.004601
01jun1988,88.673378,6.8210292,32.968307,23.020973,25.86307
01jul1988,86.565315,7.1394076,41.349072,17.848518,20.228323
01aug1988,92.405418,9.0005283,30.901814,22.50132,30.001759
01sep1988,79.62426,11.901135,22.95219,19.551865,25.219072
01oct1988,77.226341,8.274251,22.616285,20.685627,25.650177
01nov1988,58.200802,9.8941364,12.513172,16.00522,19.788273
01dec1988,70.179733,8.1408491,15.439542,19.650326,26.949018
01jan1989,99.463097,13.589435,24.865774,28.913691,32.0942
01feb1989,72.699638,17.087523,17.398203,16.77684,21.437073
01mar1989,90.294579,14.686467,29.372934,19.581955,26.653217
01apr1989,82.809135,18.062395,18.896046,22.23064,23.620056
