date,finance,energy,telecom,transport,trade,health,housing,agriculture,finance_regulation,energy_regulation,telecom_regulation,transport_regulation,trade_regulation,health_regulation,housing_regulation,agriculture_regulation
1960-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.51,470.39,200.78,0.0,0.0
1960-03-06,0.0,0.0,0.0,231.23,0.0,0.0,0.0,0.0,47.4,211.02,0.0,71.11,0.0,77.22,0.0,140.71
1960-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.13,251.54,0.0,0.0,0.0,0.0
1960-03-08,961.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-09,389.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.2,0.0,0.0,350.73,163.9,0.0,0.0,297.44
1960-03-10,0.0,0.0,0.0,0.0,347.44,0.0,0.0,0.0,0.0,0.0,227.18,0.0,600.97,0.0,217.36,0.0
1960-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.32,0.0,0.0,0.0,335.64
1960-03-12,0.0,0.0,0.0,0.0,359.12,0.0,0.0,0.0,207.14,0.0,234.81,155.36,0.0,168.72,0.0,0.0
1960-03-13,73.89,0.0,0.0,123.7,0.0,0.0,0.0,0.0,28.53,0.0,0.0,0.0,124.44,0.0,110.02,112.92
1960-03-14,249.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-15,0.0,0.0,0.0,561.86,0.0,0.0,0.0,0.0,115.19,0.0,0.0,0.0,188.41,0.0,0.0,0.0
1960-03-16,287.29,0.0,0.0,480.95,0.0,0.0,0.0,0.0,271.15,0.0,447.09,394.42,0.0,0.0,0.0,292.68
1960-03-17,296.78,0.0,0.0,0.0,235.46,0.0,0.0,2980.4,178.26,181.37,230.93,0.0,0.0,0.0,220.95,604.71
1960-03-18,211.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.71,0.0,0.0,0.0,0.0,0.0
1960-03-19,0.0,0.0,0.0,546.54,388.5,0.0,0.0,0.0,0.0,0.0,254.03,168.08,0.0,0.0,243.04,0.0
1960-03-20,0.0,0.0,0.0,391.65,185.6,0.0,436.64,0.0,0.0,0.0,0.0,80.3,131.33,0.0,203.2,0.0
1960-03-21,0.0,0.0,0.0,626.24,0.0,0.0,1396.33,1073.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-22,315.01,665.07,0.0,0.0,374.87,0.0,0.0,0.0,81.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-23,665.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.09,0.0,0.0,195.64,0.0,0.0,0.0,0.0
1960-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.14,145.66,989.13,218.15,178.41,0.0,0.0,0.0
