date,usa,canada,uk,western_europe,eastern_europe,japan,china,asia,australia,latin_america,middle_east,russia,africa
1960-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-12,59.03,0.0,0.0,0.0,1547.18,0.0,0.0,0.0,0.0,0.0,0.0,1487.2,3366.53
1960-03-13,28.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.34,0.0,1236.47
1960-03-14,48.79,0.0,0.0,0.0,0.0,0.0,0.0,1316.37,0.0,0.0,0.0,0.0,0.0
1960-03-15,65.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-16,112.4,0.0,0.0,358.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-17,232.23,0.0,0.0,370.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-18,41.45,0.0,0.0,396.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-19,127.73,0.0,0.0,0.0,0.0,817.18,0.0,0.0,0.0,838.46,0.0,0.0,0.0
1960-03-20,99.16,537.46,0.0,146.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-21,195.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-22,267.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-23,167.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-24,0.0,0.0,0.0,396.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-25,150.38,1513.75,0.0,0.0,0.0,824.67,0.0,0.0,0.0,0.0,0.0,1623.64,0.0
1960-03-26,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-27,79.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-28,141.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-29,112.4,0.0,0.0,358.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-30,119.07,1398.3,1256.6,380.05,0.0,0.0,0.0,0.0,0.0,781.62,0.0,0.0,0.0
1960-03-31,115.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-01,58.06,0.0,0.0,0.0,0.0,742.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-02,74.73,0.0,0.0,0.0,1958.67,0.0,0.0,0.0,0.0,981.18,0.0,1882.73,0.0
1960-04-03,69.69,0.0,441.31,133.47,0.0,267.53,0.0,376.1,0.0,0.0,0.0,0.0,0.0
