Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea,THREATS_GPR_AI,ACTS_GPR_AI
1960-04-13,140.39,106.54,0.00,149.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,197.91,52.35
1960-04-14,90.90,113.14,53.54,93.34,0.00,0.00,0.00,0.00,53.54,0.00,0.00,0.00,117.43,47.78
1960-04-15,117.31,125.20,0.00,124.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.56,55.92
1960-04-16,136.40,122.00,0.00,145.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.77,93.72
1960-04-17,56.40,62.31,23.17,58.57,23.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.83,28.63
1960-04-18,85.36,75.63,0.00,90.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137.06,18.92
1960-04-19,102.27,74.84,0.00,108.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.07,62.40
1960-04-20,172.84,151.32,0.00,184.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.98,142.55
1960-04-21,127.04,123.42,0.00,135.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.80,93.72
1960-04-22,154.92,168.34,0.00,165.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.33,113.86
1960-04-23,146.56,159.76,0.00,156.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,162.59,90.02
1960-04-24,62.09,57.49,0.00,66.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.08,36.68
1960-04-25,171.06,113.59,225.24,167.52,0.00,0.00,0.00,0.00,225.24,0.00,0.00,0.00,223.50,144.96
1960-04-26,169.74,237.92,61.92,176.79,0.00,0.00,0.00,0.00,61.92,0.00,0.00,0.00,202.65,89.26
1960-04-27,180.61,136.19,0.00,192.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.23,143.77
1960-04-28,102.47,91.17,0.00,109.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145.03,41.62
1960-04-29,144.96,48.62,0.00,154.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189.45,60.81
1960-04-30,129.00,100.96,0.00,137.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142.30,96.20
1960-05-01,69.43,96.42,23.90,72.40,23.90,0.00,0.00,0.00,0.00,0.00,23.90,0.00,89.04,45.12
1960-05-02,142.08,140.45,73.11,146.59,73.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188.36,82.81
1960-05-03,131.54,203.47,75.65,135.20,0.00,0.00,0.00,0.00,0.00,0.00,75.65,0.00,163.30,70.11
1960-05-04,138.80,154.88,0.00,147.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,184.78,76.09
1960-05-05,122.95,115.99,0.00,130.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,148.11,77.24
1960-05-06,126.58,117.70,0.00,134.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151.45,103.04
1960-05-07,108.27,12.71,0.00,115.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.90,90.83
1960-05-08,76.52,53.39,0.00,81.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.52,57.23
1960-05-09,182.65,87.97,0.00,194.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,207.25,146.68
1960-05-10,233.30,182.59,0.00,248.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348.72,125.47
1960-05-11,169.76,77.14,0.00,180.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.67,110.26
1960-05-12,161.69,122.30,53.05,168.80,0.00,53.05,0.00,0.00,0.00,0.00,0.00,0.00,230.87,83.76
1960-05-13,172.93,94.73,0.00,184.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,245.27,94.30
1960-05-14,168.60,175.93,0.00,179.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,211.23,102.16
1960-05-15,96.48,85.71,0.00,102.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.36,48.13
1960-05-16,163.27,92.00,0.00,173.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,219.53,90.40
1960-05-17,230.84,169.56,0.00,245.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,370.95,77.90
1960-05-18,244.36,145.91,0.00,260.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,399.06,54.51
1960-05-19,206.81,204.45,53.21,216.86,0.00,0.00,0.00,0.00,53.21,0.00,0.00,0.00,314.94,71.23
1960-05-20,170.90,188.17,0.00,182.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,264.79,57.35
1960-05-21,222.46,88.63,65.91,232.70,0.00,65.91,0.00,0.00,0.00,0.00,0.00,0.00,321.26,74.65
1960-05-22,90.15,82.91,0.00,96.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.45,32.75
1960-05-23,162.49,130.80,0.00,173.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242.32,57.12
1960-05-24,159.70,177.94,0.00,170.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.56,68.12
1960-05-25,161.15,184.25,0.00,171.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,219.43,77.59
1960-05-26,122.81,87.97,0.00,130.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173.59,59.37
1960-05-27,175.79,122.79,71.02,182.64,0.00,0.00,0.00,0.00,71.02,0.00,0.00,0.00,232.43,95.07
1960-05-28,188.18,191.80,71.31,195.82,71.31,0.00,71.31,0.00,0.00,0.00,0.00,0.00,193.66,163.99
1960-05-29,74.79,71.78,0.00,79.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.93,22.90
1960-05-30,115.77,194.72,0.00,123.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.28,72.48
1960-05-31,160.10,102.18,0.00,170.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.28,83.45
1960-06-01,135.26,160.45,0.00,144.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.59,71.67
1960-06-02,97.38,42.05,0.00,103.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.11,60.10
1960-06-03,142.92,139.28,0.00,152.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206.52,56.55
1960-06-04,155.18,69.40,180.62,153.52,0.00,0.00,60.21,0.00,0.00,120.42,60.21,0.00,201.24,78.53
