Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL
1960-10-03,192.61,101.29,0.0,205.2
1960-10-04,167.97,137.72,0.0,178.95
1960-10-05,154.81,111.84,0.0,164.94
1960-10-06,88.38,143.37,39.28,91.59
1960-10-07,154.76,96.89,0.0,164.87
1960-10-08,111.12,59.39,0.0,118.38
1960-10-09,70.3,25.07,0.0,74.89
1960-10-10,197.74,154.76,0.0,210.67
1960-10-11,179.32,151.94,0.0,191.04
1960-10-12,219.89,258.13,0.0,234.26
1960-10-13,148.44,175.17,0.0,158.14
1960-10-14,181.01,171.13,0.0,192.84
1960-10-15,121.88,141.01,0.0,129.85
1960-10-16,91.79,68.78,47.74,94.67
1960-10-17,168.17,76.67,0.0,179.17
1960-10-18,163.62,121.31,70.16,169.73
1960-10-19,152.73,118.54,0.0,162.71
1960-10-20,146.56,145.34,44.5,153.24
1960-10-21,211.74,109.8,0.0,225.59
1960-10-22,168.05,98.64,0.0,179.04
1960-10-23,91.65,77.42,23.71,96.09
1960-10-24,192.36,227.59,0.0,204.94
1960-10-25,216.54,203.36,132.32,222.05
1960-10-26,222.63,129.06,67.18,232.8
1960-10-27,173.16,135.52,0.0,184.48
1960-10-28,193.38,131.6,68.5,201.55
1960-10-29,118.11,144.35,210.91,112.04
1960-10-30,80.87,68.22,0.0,86.16
1960-10-31,181.76,177.8,0.0,193.64
1960-11-01,118.65,24.76,64.44,122.19
1960-11-02,192.58,137.2,0.0,205.17
1960-11-03,106.47,167.87,0.0,113.43
1960-11-04,138.42,139.28,0.0,147.47
1960-11-05,108.45,87.05,0.0,115.54
1960-11-06,64.51,62.68,0.0,68.73
1960-11-07,138.33,79.21,82.47,141.98
1960-11-08,140.78,87.31,0.0,149.99
1960-11-09,142.38,156.47,222.13,137.16
1960-11-10,85.47,101.6,0.0,91.06
1960-11-11,147.33,195.91,63.74,152.8
1960-11-12,169.04,206.5,67.18,175.7
1960-11-13,73.72,63.29,41.18,75.84
1960-11-14,154.55,146.61,76.32,159.67
1960-11-15,156.16,105.7,68.78,161.88
1960-11-16,125.19,80.69,0.0,133.38
1960-11-17,126.17,105.97,0.0,134.42
1960-11-18,162.91,167.14,0.0,173.56
1960-11-19,134.51,154.68,59.64,139.4
1960-11-20,75.92,78.71,0.0,80.88
1960-11-21,159.11,123.23,160.37,159.02
1960-11-22,185.9,108.27,0.0,198.05
1960-11-23,130.93,107.44,0.0,139.5
1960-11-24,101.25,68.62,51.03,104.53
1960-11-25,206.78,143.26,82.86,214.89
1960-11-26,137.35,110.96,72.2,141.61
1960-11-27,67.1,62.56,23.26,69.96
1960-11-28,159.45,136.13,0.0,169.87
1960-11-29,146.03,122.44,63.74,151.41
1960-11-30,137.33,105.28,274.02,128.39
1960-12-01,127.19,144.5,200.58,122.4
1960-12-02,155.64,107.83,124.73,157.66
1960-12-03,116.55,78.88,0.0,124.17
1960-12-04,59.52,39.92,56.68,59.7
1960-12-05,153.77,133.71,69.6,159.27
1960-12-06,142.95,134.25,69.88,147.72
1960-12-07,157.75,139.28,131.82,159.44
1960-12-08,120.73,63.24,0.0,128.62
1960-12-09,134.55,68.92,119.59,135.53
1960-12-10,169.6,167.66,109.09,173.56
1960-12-11,79.4,47.14,44.62,81.68
1960-12-12,179.62,77.38,80.56,186.09
1960-12-13,198.05,143.07,293.39,191.82
1960-12-14,185.86,202.18,93.55,191.9
1960-12-15,165.95,96.74,0.0,176.8
1960-12-16,178.64,151.37,65.66,186.03
1960-12-17,116.91,107.83,0.0,124.55
1960-12-18,98.59,59.21,28.02,103.2
1960-12-19,201.59,147.91,0.0,214.77
1960-12-20,128.92,118.44,68.5,132.87
1960-12-21,151.63,96.54,125.63,153.33
1960-12-22,120.72,81.82,60.84,124.64
