Date,GPR_AI,military_conflict,diplomatic_tension,terrorism,civil_war,nuclear_threat,coup,sanctions,other
1967-02-01,142.72,55.2537,61.1444,3.6538,7.3821,5.2196,3.691,0.8575,5.5179
1967-03-01,143.16,65.6034,49.689,5.3511,7.575,3.6832,4.3087,0.417,6.5325
1967-04-01,127.06,60.2628,40.5095,5.5149,5.2308,2.9413,7.0858,0.5348,4.9801
1967-05-01,186.12,90.122,64.4749,4.215,11.4662,3.6435,5.5009,0.6965,6.001
1967-06-01,249.66,139.1196,75.3348,3.3318,12.0314,6.8856,1.3697,3.3688,8.2183
1967-07-01,192.02,88.8772,57.3178,5.8011,24.8097,2.9918,1.9702,1.0945,9.1577
1967-08-01,175.18,76.9382,54.1499,7.5713,20.5985,3.6743,1.8557,1.8557,8.5363
1967-09-01,146.68,62.6266,46.2663,5.8053,13.4049,7.3182,2.1814,1.9351,7.1422
1967-10-01,142.08,74.3162,39.0423,5.398,8.7251,2.6141,1.5277,1.1543,9.3023
1967-11-01,156.65,67.7238,53.1881,6.3753,8.5611,8.4882,3.2059,1.3479,7.7596
1967-12-01,144.2,63.1765,50.138,4.8455,7.1388,5.5113,7.2128,0.6658,5.5113
1968-01-01,185.51,86.5136,71.2529,5.2673,6.9629,6.8186,1.5153,1.0823,6.0971
1968-02-01,206.11,124.8919,50.8094,6.7331,7.8675,8.0871,1.4637,0.4391,5.8183
1968-03-01,158.68,85.0144,47.2642,5.7424,6.9656,3.7376,2.0727,0.3398,7.5432
1968-04-01,162.17,66.8256,62.0575,3.6346,15.258,4.3183,2.0152,0.6837,7.3771
1968-05-01,137.1,52.0446,58.9628,3.6874,13.4501,1.1589,0.7024,1.1589,5.9349
1968-06-01,121.37,52.0157,41.1151,5.7429,8.7059,3.9871,1.134,1.3534,7.3159
1968-07-01,165.85,50.4556,70.685,12.3187,17.1596,6.2184,3.2666,0.7478,4.9983
1968-08-01,192.83,104.1473,44.1948,11.177,19.3856,4.9472,2.3087,0.4031,6.2664
1968-09-01,162.2,76.9342,53.3576,7.4452,13.7205,3.6163,1.489,0.39,5.2471
1968-10-01,143.49,57.4159,53.5893,4.5721,8.5312,5.9967,7.7195,0.2982,5.3672
1968-11-01,149.02,55.4202,64.0852,9.3975,7.7538,3.5017,2.6799,0.3931,5.7886
1968-12-01,129.1,49.8039,51.2349,7.2476,8.3626,4.3486,3.0849,0.4088,4.6087
1969-01-01,135.21,47.1923,53.9938,9.6256,10.1938,4.6457,1.3035,1.6043,6.651
1969-02-01,141.34,41.983,63.3269,15.3911,8.6159,6.4228,0.7049,0.235,4.6604
1969-03-01,162.82,73.2574,53.9634,7.2062,8.2356,11.3904,3.188,0.5313,5.0477
1969-04-01,148.92,62.7601,48.6256,6.3572,15.7577,8.2846,2.1641,0.9806,3.9901
1969-05-01,128.05,47.5433,50.5794,4.5375,12.2111,5.9721,2.0352,0.2335,4.9378
1969-06-01,130.32,45.989,53.067,7.3625,9.3899,6.6867,0.9603,0.3557,6.5089
1969-07-01,140.74,60.11,51.8574,5.7248,10.5945,4.6096,0.6691,0.855,6.3195
1969-08-01,149.44,59.1042,48.4197,9.7911,17.7956,6.1105,1.608,0.3931,6.2177
1969-09-01,144.19,51.663,45.8574,13.3045,15.1015,5.46,6.2894,0.0346,6.4795
1969-10-01,133.87,49.7424,47.8564,6.1631,10.7096,7.0724,4.0414,0.3368,7.948
1969-11-01,129.55,51.2339,46.476,13.1707,6.7829,3.3914,1.0537,0.2963,7.1451
