Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,THREATS_GPR_AI,ACTS_GPR_AI,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea
1960-03-31,124.89,175.93,0.0,133.06,159.42,59.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-01,118.21,209.69,0.0,125.94,134.13,74.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-02,126.5,116.47,0.0,134.77,154.09,81.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-03,66.31,77.84,0.0,70.64,87.78,33.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-04,107.4,57.63,0.0,114.42,154.06,51.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-05,125.7,136.69,0.0,133.92,162.15,62.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-06,115.19,121.55,0.0,122.73,152.0,62.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-07,96.35,95.81,0.0,102.65,123.48,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-08,101.16,58.64,0.0,107.78,119.04,75.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-09,115.65,73.81,0.0,123.21,141.42,65.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-10,70.92,62.06,21.53,74.15,81.72,47.3,0.0,0.0,0.0,0.0,0.0,0.0,21.53,0.0
1960-04-11,138.6,118.33,0.0,147.66,176.92,68.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-12,133.97,160.35,0.0,142.73,145.3,103.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-13,140.39,106.54,0.0,149.57,197.91,52.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-14,90.9,113.14,53.54,93.34,117.43,47.78,0.0,0.0,0.0,0.0,53.54,0.0,0.0,0.0
1960-04-15,117.31,125.2,0.0,124.98,156.56,55.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-16,136.4,122.0,0.0,145.32,154.77,93.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-17,56.4,62.31,23.17,58.57,75.83,28.63,23.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-18,85.36,75.63,0.0,90.94,137.06,18.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-19,102.27,74.84,0.0,108.95,122.07,62.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-20,172.84,151.32,0.0,184.14,186.98,142.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-21,127.04,123.42,0.0,135.35,139.8,93.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-22,154.92,168.34,0.0,165.05,174.33,113.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-23,146.56,159.76,0.0,156.15,162.59,90.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-24,62.09,57.49,0.0,66.15,87.08,36.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-25,171.06,113.59,225.24,167.52,223.5,144.96,0.0,0.0,0.0,0.0,225.24,0.0,0.0,0.0
1960-04-26,169.74,237.92,61.92,176.79,202.65,89.26,0.0,0.0,0.0,0.0,61.92,0.0,0.0,0.0
1960-04-27,180.61,136.19,0.0,192.41,186.23,143.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-28,102.47,91.17,0.0,109.17,145.03,41.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-29,144.96,48.62,0.0,154.44,189.45,60.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-30,129.0,100.96,0.0,137.43,142.3,96.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-01,69.43,96.42,23.9,72.4,89.04,45.12,23.9,0.0,0.0,0.0,0.0,0.0,23.9,0.0
1960-05-02,142.08,140.45,73.11,146.59,188.36,82.81,73.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-03,131.54,203.47,75.65,135.2,163.3,70.11,0.0,0.0,0.0,0.0,0.0,0.0,75.65,0.0
1960-05-04,138.8,154.88,0.0,147.88,184.78,76.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-05,122.95,115.99,0.0,130.99,148.11,77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-06,126.58,117.7,0.0,134.86,151.45,103.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-07,108.27,12.71,0.0,115.35,135.9,90.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-08,76.52,53.39,0.0,81.53,94.52,57.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-09,182.65,87.97,0.0,194.6,207.25,146.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-10,233.3,182.59,0.0,248.56,348.72,125.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-11,169.76,77.14,0.0,180.85,230.67,110.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-12,161.69,122.3,53.05,168.8,230.87,83.76,0.0,53.05,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-13,172.93,94.73,0.0,184.23,245.27,94.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-14,168.6,175.93,0.0,179.63,211.23,102.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-15,96.48,85.71,0.0,102.79,135.36,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-16,163.27,92.0,0.0,173.95,219.53,90.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-17,230.84,169.56,0.0,245.94,370.95,77.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-18,244.36,145.91,0.0,260.33,399.06,54.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-19,206.81,204.45,53.21,216.86,314.94,71.23,0.0,0.0,0.0,0.0,53.21,0.0,0.0,0.0
1960-05-20,170.9,188.17,0.0,182.07,264.79,57.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-21,222.46,88.63,65.91,232.7,321.26,74.65,0.0,65.91,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-22,90.15,82.91,0.0,96.04,134.45,32.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-23,162.49,130.8,0.0,173.12,242.32,57.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
